,titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
8692,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,19.200.000,220.0,0,3,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-altos-del-poblado-3-banos-2-garajes/687-M5329986
8693,"Casa lote en Arriendo, La America, Medellín",la americae | medellín,9.000.000,300.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-lote-medellin-la-america/17287-M5589637
8694,"Local Comercial en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,13.800.000,130.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-altos-del-poblado/687-M5425855
8695,"Consultorio en Arriendo, EL POBLADO, Medellín",el poblado | medellín,4.700.000,32.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-consultorio-medellin-simesa-1-banos-1-garajes/687-M5809304
8696,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.500.000,42.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-patio-bonito-1-banos-1-garajes/687-M5603243
8697,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.300.000,52.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-aguacatala-1-banos-1-garajes/687-M5986844
8698,"Local Comercial en Arriendo, EL POBLADO, Medellín",el poblado | medellín,63.200.000,570.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-el-poblado/687-M3720248
8699,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,4.000.000,93.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-2-banos-1-garajes/687-M4709376
8700,"Local Comercial en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.700.000,34.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-patio-bonito/687-M4342988
8701,"Bodega en Arriendo, Cristo Rey, Medellín",cristo reye | medellín,20.000.000,340.0,0,4,2,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-cristo-rey-4-banos-2-garajes/20772-M5993799
8702,"Casa en Arriendo, Poblado El Tesoro, Medellín",poblado el tesoroe | medellín,19.000.000,280.0,3,4,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos/17556-M5302574
8703,"Apartamento en Arriendo, San Lucas, Medellín",san lucase | medellín,12.000.000,179.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos/2214-M6065605
8704,"Apartamento en Arriendo, La Frontera M, Medellín",la frontera m | medellín,5.300.000,122.0,3,4,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-frontera-m-3-habitaciones-4-banos/2214-M5769220
8705,"Apartamento en Arriendo, Poblado El Tesoro, Medellín",poblado el tesoro | medellín,15.000.000,272.0,3,5,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-el-tesoro-3-habitaciones-5-banos-3-garajes/17556-M5967437
8706,"Apartamento en Arriendo, CIUDAD DEL RIO, Medellín",ciudad del rioe | medellín,3.600.000,85.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-3-habitaciones-2-banos-1-garajes/16174-M5796800
8707,"Apartamento en Arriendo, San Lucas, Medellín",san lucase | medellín,8.500.000,215.0,3,3,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-urbanizacion-loyola-3-habitaciones-3-banos-3-garajes/4334-M5727684
8708,"Bodega en Arriendo, La Candelaria, Medellín",la candelaria | medellín,12.000.000,200.0,0,3,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-la-candelaria-3-banos/18597-M6041376
8709,"Apartamento en Arriendo, Santa Monica, Medellín",santa monica | medellín,2.100.000,86.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-monica-2-habitaciones-2-banos-1-garajes/18597-M6041293
8710,"Local Comercial en Arriendo, Poblado, Medellín",poblado | medellín,16.010.576,184.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-poblado-1-banos/16120-M5101857
8711,"Apartamento en Arriendo, Robledo Pajarito, Medellín",robledo pajarito | medellín,1.400.000,54.0,2,1,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-robledo-pajarito-2-habitaciones-1-banos/18597-M6041167
8712,"Oficina en Arriendo, Poblado Manila, Medellín",poblado manila | medellín,7.100.000,70.0,0,3,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-poblado-manila-3-banos-2-garajes/18597-M6041008
8713,"Apartamento en Arriendo, El Rodeo, Medellín",el rodeo | medellín,2.100.000,68.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-rodeo-3-habitaciones-2-banos/18597-M6040991
8717,"Apartamento en Arriendo, Laureles, Medellín",laurelese | medellín,4.700.000,120.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-3-habitaciones-3-banos-2-garajes/19700-M5739484
8718,"Apartamento en Arriendo, LAURELES, Medellín",laurelese | medellín,2.550.000,56.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-2-habitaciones-2-banos-1-garajes/12116-M6019669
8719,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado | medellín,3.950.000,65.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-2-habitaciones-2-banos-1-garajes/687-M5980333
8720,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado | medellín,3.700.000,75.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-2-banos-1-garajes/687-M5970918
8721,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.000.000,87.0,2,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-lomas-no.1-2-habitaciones-2-banos/687-M5252699
