titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,6.000.000,170.0,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/14059-M6012487
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,14.600.000,135.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-4-banos-2-garajes/16120-M6015246
"Apartamento en Arriendo, LAURELES Nororiente, Medellín",Laureles,6.000.000,106.0,3,4,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-4-banos-1-garajes/MC5943186
"Apartamento en Arriendo, BELEN LOMA DE LOS BERNAL Nororiente, Medellín",Loma De Los Bernal,3.800.000,100.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/MC5999951
"Oficina en Arriendo, LA CANDELARIA Nororiente, Medellín",La Candelaria,1.150.000,4.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-candelaria-1-banos/MC5850725
"Apartamento en Arriendo, EL POBLADO SANTA MARIA DE LOS ANGELES Suroriente, Medellín",El Poblado,3.000.000,60.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-2-habitaciones-2-banos-1-garajes/MC6028170
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,9.500.000,83.0,3,5,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no.2-3-habitaciones-5-banos/2895-M5364841
"Casa en Arriendo, Alto De Las Palmas, Medellín",Las Palmas,14.500.000,330.0,3,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-3-habitaciones-5-banos-4-garajes/20765-M6000163
"Local Comercial en Arriendo, Nogal Los Almendros, Medellín",Nogal Los Almendros | Medellín,6.000.000,84.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-nogal-los-almendros-1-banos/2214-M4562146
"Apartamento en Arriendo, La Almeria, Medellín",Almería,2.800.000,150.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-almeria-3-habitaciones-3-banos-2-garajes/11166-M6065385
"Casa en Arriendo, El Poblado, Medellín",El Poblado,16.000.000,225.0,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/20775-M6029072
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,9.500.000,105.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-2-banos-2-garajes/20775-M6006894
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,12.500.000,215.0,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-1-garajes/20775-M6001607
"Apartamento en Arriendo, Alto De Las Palmas, Medellín",Las Palmas,10.500.000,164.0,4,4,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alto-de-las-palmas-4-habitaciones-4-banos/20775-M6001604
