titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartaestudio en Arriendo, Santa Maria De Los Angeles El Poblado, Medellín",Santa Maria De Los Angeles El Poblado | Medellín,$4.300.000,"68 m²
1 hab.
1 bañ.
1 par.",68,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-santa-maria-de-los-angeles-el-poblado-1-habitaciones-1-banos-1-garajes/19698-M5955639,19698-M5955639,39,8
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.200.000,"160 m²
3 hab.
4 bañ.
2 par.",160,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-4-banos-2-garajes/687-M4896349,687-M4896349,39,9
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$13.500.000,"220 m²
3 hab.
4 bañ.
3 par.",220,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M4801940,687-M4801940,39,10
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.800.000,"186 m²
3 hab.
3 bañ.
2 par.",186,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-3-banos-2-garajes/687-M4998586,687-M4998586,39,11
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$12.000.000,"264 m²
4 hab.
5 bañ.
3 par.",264,4,5,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-5-banos-3-garajes/20765-M6051368,20765-M6051368,39,12
"Apartamento en Arriendo, LA CALERA, Medellín",LA CALERA | Suroriente | Medellín,$12.400.000,"264 m²
3 hab.
4 bañ.
3 par.",264,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5376816,687-M5376816,39,13
"Oficina en Arriendo, LAURELES, Medellín",LAURELES | Noroccidente | Medellín,$4.500.000,"280 m²
4 bañ.
1 par.",280,,4,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-castellana-4-banos-1-garajes/12116-M4011529,12116-M4011529,39,14
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$11.750.000,"220 m²
3 hab.
4 bañ.
3 par.",220,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5766412,687-M5766412,39,15
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$4.800.000,"120 m²
3 hab.
3 bañ.
2 par.",120,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/687-M4948298,687-M4948298,39,16
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$3.150.000,"43 m²
1 hab.
1 bañ.
1 par.",43,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-aguacatala-1-habitaciones-1-banos-1-garajes/687-M5784254,687-M5784254,39,17
